<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	3240.65	3261.45	3235.85	3261.40	52055	2609770	70
2020.01.03	3260.15	3262.90	3206.95	3235.60	130052	6518661	70
2020.01.06	3219.95	3249.60	3209.55	3242.80	98656	4951652	70
2020.01.07	3242.35	3254.95	3226.35	3232.80	106619	5360433	70
2020.01.08	3231.35	3267.95	3181.70	3260.00	193431	9683855	70
2020.01.09	3260.25	3277.05	3257.75	3275.10	156354	7867658	70
2020.01.10	3274.85	3287.40	3260.85	3264.10	209624	10551270	70
2020.01.13	3266.05	3291.40	3266.05	3289.20	52583	2655694	70
2020.01.14	3289.25	3297.60	3276.65	3288.60	87333	4391632	70
2020.01.15	3288.15	3300.70	3279.30	3295.40	75972	3828852	70
2020.01.16	3295.25	3318.95	3295.05	3318.40	55163	2790058	70
2020.01.17	3317.55	3331.45	3317.55	3325.10	48725	2464702	70
2020.01.20	3326.75	3330.40	3320.95	3327.70	19912	1011501	70
2020.01.21	3326.85	3332.30	3309.85	3322.30	67743	3407726	70
2020.01.22	3322.15	3339.85	3317.50	3319.30	67357	3378433	70
2020.01.23	3318.65	3328.95	3303.95	3328.30	75391	3793231	70
2020.01.24	3328.25	3339.55	3283.35	3293.40	96774	4856479	70
2020.01.27	3269.05	3271.75	3236.35	3243.55	184748	9250726	70
2020.01.28	3241.65	3288.25	3241.45	3285.80	240300	12053333	70
2020.01.29	3283.95	3295.95	3268.40	3273.90	340414	17102556	70
2020.01.30	3273.65	3297.85	3243.05	3297.10	909757	45577561	70
2020.01.31	3293.55	3300.10	3215.50	3230.00	737351	38372125	70
2020.02.03	3224.45	3269.85	3223.95	3247.40	222175	11120739	70
2020.02.04	3245.85	3307.95	3238.45	3302.70	303915	15269674	70
2020.02.05	3302.05	3340.15	3291.00	3338.00	566470	28406632	70
2020.02.06	3338.25	3359.35	3334.45	3350.00	627840	31558891	70
2020.02.07	3350.05	3351.10	3322.30	3324.50	837691	42029653	70
2020.02.10	3322.95	3354.75	3304.80	3353.50	151917	7624194	70
2020.02.11	3351.65	3376.00	3350.75	3360.30	102389	5159707	70
2020.02.12	3361.25	3382.65	3357.15	3381.90	103088	5212539	70
2020.02.13	3380.95	3385.55	3349.45	3379.10	144251	7252387	70
2020.02.14	3378.45	3388.50	3365.85	3381.10	196991	9968284	70
2020.02.17	3382.55	3393.15	3382.45	3389.15	52287	2656501	70
2020.02.18	3378.05	3379.15	3356.25	3371.20	114301	5767905	70
2020.02.19	3371.35	3394.25	3370.45	3388.30	76769	3917803	70
2020.02.20	3390.25	3397.80	3339.60	3367.50	255291	12826715	70
2020.02.21	3366.65	3369.35	3328.35	3338.80	338612	16941064	70
2020.02.24	3306.95	3312.05	3214.55	3227.00	473446	23675619	70
2020.02.25	3222.05	3260.10	3117.95	3138.90	576480	28825265	70
2020.02.26	3138.25	3183.25	3092.45	3101.00	656841	32842032	70
2020.02.27	3100.15	3117.25	2944.65	2949.45	723010	36150500	70
2020.02.28	2945.95	2995.50	2853.55	2988.30	904569	45228432	70
2020.03.02	2902.45	3093.15	2890.85	3071.65	727984	36399218	70
2020.03.03	3074.75	3137.45	2973.95	2989.85	765164	38258197	70
2020.03.04	2989.45	3129.20	2977.00	3111.20	637328	31866679	70
2020.03.05	3108.95	3114.10	2997.25	3023.00	621389	31069751	70
2020.03.06	3022.65	3037.35	2898.45	2963.85	698401	34920252	70
2020.03.09	2895.45	2895.65	2715.55	2733.70	413376	20668411	70
2020.03.10	2728.75	2884.90	2695.70	2877.40	720209	36010432	70
2020.03.11	2859.35	2869.95	2703.65	2741.50	735024	36751169	70
2020.03.12	2737.05	2773.10	2442.65	2449.80	681688	34084291	70
2020.03.13	2428.75	2705.05	2393.35	2664.20	616493	30824250	70
2020.03.16	2590.30	2646.35	2382.00	2410.25	389419	19470949	70
2020.03.17	2415.10	2553.75	2363.60	2485.35	670553	33527330	170
2020.03.18	2479.50	2496.45	2273.45	2416.15	521666	26083221	170
2020.03.19	2412.05	2469.90	2284.90	2363.80	665398	33269810	170
2020.03.20	2359.80	2507.30	2268.60	2276.00	664751	33237380	170
2020.03.23	2218.20	2393.40	2179.90	2225.90	654647	32732306	300
2020.03.24	2246.00	2455.80	2240.50	2450.50	568442	28421848	170
2020.03.25	2450.00	2568.10	2394.50	2475.20	715620	35781000	300
2020.03.26	2476.60	2632.90	2410.10	2626.30	595326	29766090	300
2020.03.27	2632.00	2640.00	2513.50	2528.20	581324	29066124	210
2020.03.30	2472.80	2628.50	2469.40	2620.40	553028	27651262	170
2020.03.31	2618.50	2642.90	2563.00	2570.30	484605	24229866	200
2020.04.01	2565.90	2567.60	2441.50	2464.10	474336	23716616	200
2020.04.02	2466.00	2531.60	2431.40	2522.90	508373	25418568	170
2020.04.03	2520.40	2535.70	2455.70	2486.90	448865	22443136	170
2020.04.06	2517.90	2675.10	2511.00	2654.10	413692	20684615	170
2020.04.07	2651.20	2754.50	2630.20	2643.70	575591	28779458	170
2020.04.08	2642.90	2758.20	2627.10	2745.90	500927	25046263	170
2020.04.09	2742.10	2815.60	2707.40	2793.40	531422	26571122	170
2020.04.13	2811.90	2813.70	2717.70	2766.70	399220	19959493	170
2020.04.14	2767.50	2850.70	2759.00	2850.70	406088	20303535	170
2020.04.15	2850.90	2851.10	2757.70	2775.00	454728	22736572	170
2020.04.16	2775.50	2837.80	2753.80	2836.80	542255	27112490	200
2020.04.17	2871.40	2891.70	2828.20	2876.00	556516	27825824	200
2020.04.20	2868.20	2882.20	2812.20	2818.50	502878	25143715	200
2020.04.21	2815.20	2840.20	2724.60	2740.60	633135	31656756	200
2020.04.22	2744.60	2815.40	2725.10	2797.60	443445	22172504	170
2020.04.23	2796.90	2844.40	2780.40	2789.40	499815	24990365	200
2020.04.24	2785.10	2842.70	2763.10	2836.30	444266	22213164	170
2020.04.27	2842.50	2888.70	2821.00	2874.90	345662	17282463	170
2020.04.28	2876.20	2920.70	2858.80	2867.80	357978	17895221	170
2020.04.29	2880.80	2967.50	2868.40	2966.10	359482	17972389	170
2020.04.30	2963.80	2972.70	2885.90	2890.10	408612	20429063	170
2020.05.01	2878.40	2887.30	2820.00	2824.95	329698	16483780	170
2020.05.04	2794.60	2844.20	2779.50	2835.20	360889	18041983	170
2020.05.05	2835.80	2897.90	2833.10	2867.70	299131	14950446	170
2020.05.06	2866.50	2894.60	2840.60	2842.30	328276	16409756	170
2020.05.07	2841.10	2902.20	2830.70	2889.40	315994	15795999	170
2020.05.08	2888.30	2939.00	2886.90	2937.35	250107	12498691	170
2020.05.11	2925.80	2953.80	2896.90	2925.20	277880	13888190	170
2020.05.12	2926.80	2945.70	2844.20	2845.40	330837	16537859	170
2020.05.13	2845.80	2882.80	2792.60	2824.80	446196	22306064	170
2020.05.14	2828.40	2859.50	2766.00	2853.20	480083	24001927	170
2020.05.15	2851.60	2868.70	2814.90	2859.85	417608	20878188	170
2020.05.18	2863.60	2969.00	2855.70	2949.20	306348	15313820	170
2020.05.19	2950.60	2981.20	2918.80	2921.80	375238	18758677	170
2020.05.20	2918.40	2980.70	2913.50	2975.70	300763	15033044	170
2020.05.21	2977.60	2978.20	2938.00	2940.70	308342	15411259	170
2020.05.22	2940.80	2961.65	2908.70	2960.55	313819	15686494	170
2020.05.25	2952.30	2994.40	2952.30	2993.80	126589	6318621	170
2020.05.26	2993.30	3024.30	2985.40	2998.70	265758	13282372	170
2020.05.27	2998.00	3043.50	2970.20	3040.90	346471	17319117	170
2020.05.28	3039.50	3069.60	3023.90	3040.90	391090	19552756	170
2020.05.29	3040.80	3061.80	2996.70	3061.05	419423	20969086	170
2020.06.01	3033.50	3062.80	3012.10	3057.10	303028	15148263	170
2020.06.02	3056.60	3082.30	3038.80	3081.00	254189	12700633	170
2020.06.03	3082.10	3132.70	3078.00	3120.40	250288	12507969	170
2020.06.04	3121.10	3130.20	3091.00	3116.50	301210	15052600	170
2020.06.05	3116.00	3213.70	3109.60	3188.40	328084	16398470	170
2020.06.08	3195.30	3233.70	3186.00	3229.60	240070	11999533	170
2020.06.09	3230.80	3233.90	3192.00	3207.40	248480	12418198	170
2020.06.10	3209.10	3230.00	3181.40	3186.00	296693	14831245	170
2020.06.11	3185.20	3190.30	2997.90	3014.70	480933	24045503	170
2020.06.12	3013.10	3088.00	2982.20	3035.50	533163	26657400	70
2020.06.15	3003.70	3078.00	2935.00	3075.40	543784	27188952	200
2020.06.16	3076.30	3166.90	3070.60	3126.30	500060	24989864	170
2020.06.17	3123.70	3157.10	3105.80	3117.10	396706	19832824	170
