<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.09.29	27620.15	27742.15	27337.95	27496.50	413102	4131353	210
2020.09.30	27486.15	28027.95	27163.50	27698.90	550519	5505364	210
2020.10.01	27749.00	28080.50	27664.75	27808.50	505416	5054302	210
2020.10.02	27807.15	27863.15	27241.65	27747.95	487817	4878261	210
2020.10.05	27835.15	28159.70	27762.50	28122.50	395614	3943097	0
2020.10.06	28126.15	28354.95	27653.50	27679.50	413376	4134130	210
2020.10.07	27696.15	28371.70	27661.15	28317.50	370392	3704003	210
2020.10.08	28295.15	28567.45	28270.75	28507.50	342780	3428025	210
2020.10.09	28505.15	28688.95	28443.75	28665.95	293494	2935258	210
2020.10.12	28592.15	28965.95	28552.50	28916.50	349772	3497843	210
2020.10.13	28920.15	28941.50	28607.95	28686.50	430208	4302371	210
2020.10.14	28690.00	28846.80	28462.95	28531.50	374491	3745382	210
2020.10.15	28538.15	28573.50	28156.90	28509.50	403380	4033947	210
2020.10.16	28529.15	28855.15	28455.80	28546.95	358595	3586128	210
2020.10.19	28607.15	28794.50	28145.70	28299.50	333991	3340252	210
2020.10.20	28312.15	28581.15	28165.50	28252.50	376750	3767633	210
2020.10.21	28322.15	28490.50	28192.95	28245.50	388004	3880215	210
2020.10.22	28221.15	28422.15	28004.50	28386.90	352586	3526100	210
2020.10.23	28428.15	28492.80	28147.75	28307.95	331641	3316719	210
2020.10.26	28224.15	28251.50	27360.95	27688.50	402348	4023675	210
2020.10.27	27683.15	27817.15	27336.50	27336.50	374743	3747703	210
2020.10.28	27345.15	27371.50	26494.50	26567.50	512017	5120426	210
2020.10.29	26597.15	26906.85	26271.15	26436.90	504741	5047511	210
2020.10.30	26372.15	26632.55	26060.15	26606.95	558105	5581092	210
2020.11.02	26459.15	27045.95	26277.50	26947.50	457400	4574105	210
2020.11.03	26944.15	27641.50	26933.15	27502.50	393495	3935039	210
2020.11.04	27509.15	28307.75	27021.50	27896.90	538142	5381432	210
2020.11.05	27918.15	28498.95	27757.15	28458.90	436878	4368821	210
2020.11.06	28427.15	28566.80	28077.80	28390.95	425145	4251486	210
2020.11.09	28485.15	30097.80	28423.40	29171.90	495676	4956760	210
2020.11.10	29198.15	29491.50	28887.50	29456.50	530018	5300204	210
2020.11.11	29458.15	29673.80	29283.50	29460.50	391367	3913735	210
2020.11.12	29447.15	29456.15	28908.50	29154.50	411346	4113495	210
2020.11.13	29127.15	29565.50	28942.50	29495.95	324104	3241099	210
2020.11.16	29530.15	30079.55	29522.15	29989.50	340586	3405923	210
2020.11.17	29944.15	29973.15	29518.15	29784.50	340312	3403351	210
2020.11.18	29779.15	29965.80	29403.90	29434.50	355383	3553998	210
2020.11.19	29429.15	29538.50	29240.95	29364.50	342046	3420511	210
2020.11.20	29326.15	29500.80	29185.15	29233.95	294870	2948747	210
2020.11.23	29198.15	29676.50	29175.40	29608.50	273474	2735548	180
2020.11.24	29613.30	30123.10	29605.30	30094.50	294759	2948631	180
2020.11.25	30078.30	30219.50	29808.10	29899.50	380522	3805558	180
2020.11.26	29914.30	29960.50	29787.10	29822.10	79269	795753	180
2020.11.27	29814.65	30024.55	29742.65	29938.65	143720	1449368	170
2020.11.30	29967.65	30004.65	29457.65	29706.65	335458	3357330	170
2020.12.01	29681.65	30083.65	29641.65	29771.65	290013	2903954	170
2020.12.02	29772.65	29926.50	29604.65	29903.65	266189	2666590	170
2020.12.03	29917.65	30109.65	29776.65	29965.65	224678	2255065	170
2020.12.04	29958.65	30227.50	29945.50	30161.45	197879	1991964	170
2020.12.07	30191.65	30275.65	29973.50	30003.65	218486	2189971	170
2020.12.08	29994.65	30249.50	29867.65	30187.65	217556	2184388	170
2020.12.09	30226.65	30317.65	29957.65	30067.65	299183	2990006	0
2020.12.10	30068.65	30160.65	29883.65	30019.65	308221	3089020	170
2020.12.11	30062.65	30104.50	29739.65	30057.95	215397	2170102	170
2020.12.14	30211.65	30352.65	29878.50	29937.65	259656	2608234	170
2020.12.15	29948.65	30270.50	29864.65	30237.65	230752	2316157	170
2020.12.16	30247.65	30344.65	30106.00	30191.65	222747	2244699	170
2020.12.17	30201.65	30358.65	30173.65	30326.65	179586	1813064	170
2020.12.18	30322.65	30388.65	30037.50	30382.95	255542	2571051	170
2020.12.21	30421.65	30435.65	29430.65	30201.65	502479	5028270	170
2020.12.22	30211.65	30259.65	29997.50	30023.50	383454	3837108	170
2020.12.23	30023.30	30303.10	29855.50	30201.50	293957	2940340	180
2020.12.24	30196.30	30270.80	30118.60	30218.80	143752	1439365	210
2020.12.28	30099.30	30540.10	30098.30	30414.85	240803	2409198	180
2020.12.29	30445.30	30625.50	30291.90	30398.50	296044	2961710	180
2020.12.30	30396.30	30540.10	30334.50	30449.50	256155	2563132	180
2020.12.31	30452.30	30484.50	30356.10	30410.10	139387	1398848	180
2021.01.04	30624.30	30811.95	29880.10	30237.50	440935	4409992	180
2021.01.05	30230.30	30499.00	30087.50	30392.65	354560	3545929	170
2021.01.06	30383.65	31021.65	30263.65	30886.65	517705	5177860	170
2021.01.07	30899.65	31196.65	30809.65	31036.65	303676	3038768	170
2021.01.08	31043.65	31259.65	30797.55	31136.45	341879	3421836	170
2021.01.11	31133.15	31139.50	30750.65	31019.50	320712	3209588	170
2021.01.12	31042.30	31126.30	30894.10	31082.05	330901	3309545	180
2021.01.13	31070.30	31174.50	30987.95	31084.50	275840	2759539	180
2021.01.14	31101.90	31230.90	30997.50	31020.50	274828	2748482	260
2021.01.15	31031.90	31072.50	30622.50	30732.95	380663	3806748	210
2021.01.18	30765.90	30866.55	30723.15	30852.65	117789	1178928	260
2021.01.19	30843.90	31089.70	30843.90	30944.50	259282	2593152	260
2021.01.20	30964.90	31243.70	30882.50	31181.15	258532	2585566	260
2021.01.21	31176.90	31296.90	31124.70	31171.50	218204	2182345	240
2021.01.22	31165.90	31191.85	30894.90	31000.95	336283	3363058	210
2021.01.25	31029.90	31120.15	30562.70	30961.50	444317	4443468	140
2021.01.26	30952.90	31122.90	30773.50	30955.50	382831	3828461	140
2021.01.27	30961.90	30990.50	30153.50	30256.65	548988	5490048	140
2021.01.28	30269.90	30941.90	30051.50	30545.50	638162	6381620	260
2021.01.29	30547.90	30624.50	29854.90	29928.95	686664	6866640	210
2021.02.01	29870.90	30338.50	29655.50	30216.50	509249	5092514	260
2021.02.02	30221.90	30846.70	30173.50	30706.85	404522	4045310	250
2021.02.03	30711.90	30815.90	30522.70	30808.85	378755	3787700	240
2021.02.04	30795.90	31089.50	30648.85	31071.85	318183	3181974	140
2021.02.05	31062.90	31250.90	31030.15	31176.95	302722	3027605	140
2021.02.08	31219.90	31398.30	31159.15	31389.85	277116	2771560	250
2021.02.09	31390.90	31438.50	31244.70	31412.50	264312	2643632	240
2021.02.10	31416.90	31547.20	31222.90	31468.50	359831	3598867	240
2021.02.11	31441.90	31539.90	31249.50	31409.85	325336	3254170	240
2021.02.12	31410.90	31489.30	31294.90	31481.20	275413	2755170	140
2021.02.15	31504.90	31691.70	31500.90	31664.70	94704	947970	140
2021.02.16	31644.90	31732.50	31446.70	31554.50	339943	3399783	240
2021.02.17	31546.90	31645.70	31349.50	31618.85	385325	3853527	250
2021.02.18	31627.90	31695.50	31293.70	31507.50	404079	4040926	240
2021.02.19	31498.90	31646.90	31368.50	31490.95	391200	3912137	140
2021.02.22	31549.90	31646.70	31249.20	31561.50	467273	4672826	250
2021.02.23	31559.90	31672.50	31161.50	31553.50	564902	5649176	250
2021.02.24	31546.90	32012.70	31383.50	31989.90	535472	5354741	260
2021.02.25	31987.90	32082.50	31297.30	31333.50	585492	5855026	250
2021.02.26	31335.90	31493.50	30842.50	30951.95	753491	7534904	210
2021.03.01	31017.90	31662.70	30965.50	31568.85	442432	4424378	210
2021.03.02	31566.90	31615.90	31312.55	31394.85	509082	5090879	240
2021.03.03	31404.90	31641.20	31247.50	31264.50	520597	5206077	140
2021.03.04	31276.90	31467.35	30546.35	30937.50	686984	6869840	260
2021.03.05	30934.90	31580.50	30674.85	31533.95	707028	7070298	210
2021.03.08	31666.90	32149.70	31321.90	31895.50	662049	6620484	210
2021.03.09	31898.90	32144.90	31824.50	31861.50	505869	5058702	260
2021.03.10	31860.90	32397.50	31749.85	32386.50	534867	5348729	250
2021.03.11	32383.90	32673.50	32284.15	32517.65	409353	4093639	240
2021.03.12	32507.90	32844.70	32411.55	32815.95	355357	3553731	200
2021.03.15	32855.90	32989.70	32654.50	32952.50	378278	3783030	200
2021.03.16	32959.90	32997.05	32802.65	32888.50	384953	3850015	170
