Local time,Open,High,Low,Close,Volume
12.03.2015 22:00:00.000 GMT+0100,17879.948,17902.996,17621.696,17742.175,7.741500000000001
13.03.2015 22:00:00.000 GMT+0100,17742.175,17742.175,17742.175,17742.175,0
14.03.2015 22:00:00.000 GMT+0100,17742.175,17742.175,17742.175,17742.175,0
15.03.2015 22:00:00.000 GMT+0100,17746.935,17988.184,17739.935,17926.255,5.054399999999999
16.03.2015 22:00:00.000 GMT+0100,17929.947,17952.917,17780.769,17852.813,9.8784
17.03.2015 22:00:00.000 GMT+0100,17849.999,18099.479,17691.911,18072.936,9.455400000000001
18.03.2015 22:00:00.000 GMT+0100,18073.159,18126.985,17931.430,17966.298,11.7194
19.03.2015 22:00:00.000 GMT+0100,17964.859,18199.179,17956.904,18113.506,10.147
20.03.2015 22:00:00.000 GMT+0100,18113.506,18113.506,18113.506,18113.506,0
21.03.2015 22:00:00.000 GMT+0100,18113.506,18113.506,18113.506,18113.506,0
22.03.2015 22:00:00.000 GMT+0100,18116.615,18207.920,18062.080,18100.864,18.1625
23.03.2015 22:00:00.000 GMT+0100,18100.362,18159.990,18006.093,18023.899,9.5569
24.03.2015 22:00:00.000 GMT+0100,18023.763,18046.999,17707.789,17745.922,20.856600000000004
25.03.2015 22:00:00.000 GMT+0100,17744.668,17758.053,17546.483,17704.664,38.62649999999999
26.03.2015 22:00:00.000 GMT+0100,17702.827,17762.971,17620.843,17712.553,30.364300000000007
27.03.2015 22:00:00.000 GMT+0100,17712.553,17712.553,17712.553,17712.553,0
28.03.2015 22:00:00.000 GMT+0100,17712.553,17712.553,17712.553,17712.553,0
29.03.2015 23:00:00.000 GMT+0200,17711.473,18008.723,17669.765,17941.966,17.068399999999997
30.03.2015 23:00:00.000 GMT+0200,17940.926,17959.994,17747.803,17772.739,14.291200000000002
31.03.2015 23:00:00.000 GMT+0200,17772.739,17808.999,17558.839,17707.844,17.653100000000006
01.04.2015 23:00:00.000 GMT+0200,17708.864,17817.205,17637.881,17765.946,7.1818
02.04.2015 23:00:00.000 GMT+0200,17765.768,17765.768,17763.456,17764.928,0.0074
03.04.2015 23:00:00.000 GMT+0200,17764.928,17764.928,17764.928,17764.928,0
