Gmt time,Open,High,Low,Close,Volume
04.03.2012 22:00:00.000,1710.501,1716.713,1694.702,1706.013,34032499.8198
05.03.2012 22:00:00.000,1706.033,1708.911,1663.723,1674.243,35397300.2585
06.03.2012 22:00:00.000,1673.864,1688.092,1671.147,1684.553,29817980.110500004
07.03.2012 22:00:00.000,1684.514,1703.903,1682.376,1699.803,28943979.9781
08.03.2012 22:00:00.000,1699.519,1714.752,1676.648,1713.713,29621140.2195
09.03.2012 22:00:00.000,1713.713,1713.713,1713.713,1713.713,0
10.03.2012 22:00:00.000,1713.713,1713.713,1713.713,1713.713,0
11.03.2012 21:00:00.000,1713.247,1716.497,1692.762,1700.970,27270799.8605
12.03.2012 21:00:00.000,1700.970,1705.643,1662.703,1673.154,34278319.98500001
13.03.2012 21:00:00.000,1673.182,1682.249,1634.456,1644.167,34369600.147
14.03.2012 21:00:00.000,1644.384,1666.496,1636.018,1657.963,30143760.353399996
15.03.2012 21:00:00.000,1657.995,1664.713,1639.557,1659.314,28813579.916900005
16.03.2012 21:00:00.000,1659.314,1659.314,1659.314,1659.314,0
17.03.2012 21:00:00.000,1659.314,1659.314,1659.314,1659.314,0
18.03.2012 21:00:00.000,1658.932,1668.952,1652.247,1663.864,21432500.049599998
19.03.2012 21:00:00.000,1663.864,1664.556,1641.648,1650.505,26546620.041300002
20.03.2012 21:00:00.000,1650.484,1661.852,1646.555,1650.049,30553619.742300004
21.03.2012 21:00:00.000,1650.313,1656.269,1628.121,1645.541,43795800.00040001
22.03.2012 21:00:00.000,1645.564,1666.472,1642.083,1661.264,36705959.9607
23.03.2012 21:00:00.000,1661.264,1661.264,1661.264,1661.264,0
24.03.2012 21:00:00.000,1661.264,1661.264,1661.264,1661.264,0
25.03.2012 21:00:00.000,1660.461,1693.552,1655.551,1689.722,35586780.02640001
26.03.2012 21:00:00.000,1689.719,1696.623,1679.603,1680.264,33337699.7712
27.03.2012 21:00:00.000,1680.264,1684.313,1654.453,1662.988,40201080.1733
28.03.2012 21:00:00.000,1662.948,1664.947,1645.199,1661.167,36121100.3364
29.03.2012 21:00:00.000,1661.167,1670.921,1659.675,1667.889,34755700.23059999
30.03.2012 21:00:00.000,1667.889,1667.889,1667.889,1667.889,0
31.03.2012 21:00:00.000,1667.889,1667.947,1667.889,1667.947,0
01.04.2012 21:00:00.000,1667.417,1683.405,1662.832,1677.084,30775839.684599996
02.04.2012 21:00:00.000,1677.106,1680.912,1639.140,1645.386,36903199.97060001
03.04.2012 21:00:00.000,1645.386,1647.892,1612.347,1620.212,44354719.8476
04.04.2012 21:00:00.000,1620.212,1633.357,1618.290,1630.614,25187020.0933
05.04.2012 21:00:00.000,1630.942,1641.950,1627.417,1638.402,9696320.0009
06.04.2012 21:00:00.000,1638.402,1638.402,1638.402,1638.402,0
07.04.2012 21:00:00.000,1638.402,1638.402,1638.402,1638.402,0
08.04.2012 21:00:00.000,1630.018,1648.702,1629.479,1639.813,29251619.875399996
09.04.2012 21:00:00.000,1639.801,1662.852,1631.877,1659.544,41279219.627399996
10.04.2012 21:00:00.000,1659.874,1662.442,1652.897,1658.495,34772160.083
11.04.2012 21:00:00.000,1658.638,1679.952,1651.182,1675.358,37665919.899799995
12.04.2012 21:00:00.000,1675.344,1677.856,1649.248,1657.516,34687959.954299994
13.04.2012 21:00:00.000,1657.516,1657.516,1657.516,1657.516,0
14.04.2012 21:00:00.000,1657.516,1657.516,1657.516,1657.516,0
15.04.2012 21:00:00.000,1657.317,1657.552,1641.238,1651.582,36250780.143
16.04.2012 21:00:00.000,1651.606,1656.792,1634.561,1648.659,33106419.965699997
17.04.2012 21:00:00.000,1649.199,1654.311,1637.862,1642.039,34183820.02429999
18.04.2012 21:00:00.000,1642.033,1653.552,1631.223,1642.503,37697839.88579999
19.04.2012 21:00:00.000,1642.505,1646.852,1638.507,1642.464,27278360.0163
20.04.2012 21:00:00.000,1642.464,1642.464,1642.464,1642.464,0
21.04.2012 21:00:00.000,1642.464,1642.464,1642.464,1642.464,0
22.04.2012 21:00:00.000,1642.017,1643.207,1623.444,1638.390,35756000.3695
23.04.2012 21:00:00.000,1638.503,1649.152,1633.960,1641.675,32767419.963999994
24.04.2012 21:00:00.000,1641.672,1646.252,1625.252,1643.271,34717839.82220001
25.04.2012 21:00:00.000,1643.264,1660.752,1641.852,1656.914,36664919.733600006
26.04.2012 21:00:00.000,1656.914,1667.352,1650.486,1662.440,35530299.611499995
27.04.2012 21:00:00.000,1662.440,1662.440,1662.440,1662.440,0
28.04.2012 21:00:00.000,1662.440,1662.440,1662.440,1662.440,0
29.04.2012 21:00:00.000,1661.617,1666.152,1648.404,1664.464,26207319.758600008
30.04.2012 21:00:00.000,1664.464,1671.502,1658.098,1662.024,21188820.198100004
01.05.2012 21:00:00.000,1662.013,1663.073,1647.058,1653.082,29799379.6617
02.05.2012 21:00:00.000,1653.085,1653.714,1631.148,1635.652,30426839.962700006
03.05.2012 21:00:00.000,1635.613,1646.961,1626.631,1641.814,30866599.857699994
04.05.2012 21:00:00.000,1641.814,1641.814,1641.814,1641.814,0
05.05.2012 21:00:00.000,1641.814,1641.814,1641.814,1641.814,0
06.05.2012 21:00:00.000,1643.017,1643.019,1633.093,1638.115,29206300.0516
07.05.2012 21:00:00.000,1638.117,1638.931,1595.347,1605.064,37652719.631799996
08.05.2012 21:00:00.000,1605.064,1606.312,1579.692,1589.214,44351220.08619999
09.05.2012 21:00:00.000,1589.206,1601.770,1585.686,1593.796,35171320.1701
10.05.2012 21:00:00.000,1593.785,1594.952,1573.600,1578.665,33486940.1903
11.05.2012 21:00:00.000,1578.665,1578.665,1578.665,1578.665,0
12.05.2012 21:00:00.000,1578.665,1578.665,1578.665,1578.665,0
13.05.2012 21:00:00.000,1578.717,1585.652,1555.815,1556.134,35549700.34960001
14.05.2012 21:00:00.000,1556.151,1563.974,1541.456,1543.598,34891519.84449999
15.05.2012 21:00:00.000,1543.605,1552.242,1526.925,1539.089,43827199.9657
16.05.2012 21:00:00.000,1539.133,1579.803,1538.402,1573.808,43831800.52019999
17.05.2012 21:00:00.000,1573.797,1597.608,1567.933,1592.515,45260739.98200001
18.05.2012 21:00:00.000,1592.515,1592.515,1592.515,1592.515,0
19.05.2012 21:00:00.000,1592.515,1592.515,1592.515,1592.515,0
20.05.2012 21:00:00.000,1592.740,1599.144,1584.813,1592.918,36050900.1015
21.05.2012 21:00:00.000,1592.893,1594.352,1561.379,1567.967,39889540.433900006
22.05.2012 21:00:00.000,1567.968,1568.608,1533.294,1560.969,52004979.78930001
23.05.2012 21:00:00.000,1560.972,1577.883,1551.557,1559.052,46474799.96109999
24.05.2012 21:00:00.000,1558.931,1574.133,1551.334,1572.076,39654819.9655
25.05.2012 21:00:00.000,1572.076,1572.076,1572.076,1572.076,0
26.05.2012 21:00:00.000,1572.076,1572.076,1572.076,1572.076,0
27.05.2012 21:00:00.000,1572.017,1583.944,1571.450,1572.993,25285459.9209
28.05.2012 21:00:00.000,1572.818,1582.653,1548.629,1554.715,42332800.090299994
29.05.2012 21:00:00.000,1555.022,1569.452,1532.659,1562.665,46502439.4692
30.05.2012 21:00:00.000,1562.640,1572.963,1552.123,1560.421,44118800.1039
31.05.2012 21:00:00.000,1560.413,1629.718,1544.973,1623.914,53757379.859799996
01.06.2012 21:00:00.000,1623.914,1623.914,1623.914,1623.914,0
02.06.2012 21:00:00.000,1623.914,1623.914,1623.914,1623.914,0
03.06.2012 21:00:00.000,1623.350,1628.080,1608.652,1618.585,45012960.255
04.06.2012 21:00:00.000,1618.662,1623.569,1612.244,1616.779,40313739.9256
05.06.2012 21:00:00.000,1616.796,1640.943,1613.359,1619.051,48272579.7595
06.06.2012 21:00:00.000,1619.051,1629.113,1579.173,1589.207,48149820.148899995
07.06.2012 21:00:00.000,1589.209,1595.052,1564.215,1592.815,44324019.9389
08.06.2012 21:00:00.000,1592.815,1592.815,1592.815,1592.815,0
09.06.2012 21:00:00.000,1592.815,1592.815,1592.815,1592.815,0
10.06.2012 21:00:00.000,1593.072,1608.121,1581.733,1596.218,45503100.0079
11.06.2012 21:00:00.000,1596.156,1617.583,1586.162,1609.100,48633960.1278
12.06.2012 21:00:00.000,1609.500,1624.657,1606.033,1616.529,36718580.276
13.06.2012 21:00:00.000,1616.532,1627.852,1609.878,1623.064,39110000.1185
14.06.2012 21:00:00.000,1623.227,1632.473,1619.870,1626.692,34151120.111499995
15.06.2012 21:00:00.000,1626.692,1626.692,1626.692,1626.692,0
16.06.2012 21:00:00.000,1626.692,1626.692,1626.692,1626.692,0
17.06.2012 21:00:00.000,1626.683,1630.045,1607.767,1627.789,37451720.223
18.06.2012 21:00:00.000,1627.799,1633.173,1617.383,1618.025,40946459.88940001
19.06.2012 21:00:00.000,1618.031,1622.513,1590.917,1606.992,46849679.917100005
20.06.2012 21:00:00.000,1606.997,1607.208,1564.373,1565.759,50337899.9831
21.06.2012 21:00:00.000,1565.542,1573.352,1558.460,1571.790,39663980.35750001
22.06.2012 21:00:00.000,1571.790,1571.790,1571.790,1571.790,0
23.06.2012 21:00:00.000,1571.790,1571.790,1571.790,1571.790,0
24.06.2012 21:00:00.000,1571.918,1588.285,1566.279,1583.995,38437440.302200004
25.06.2012 21:00:00.000,1583.982,1586.903,1567.773,1572.477,38612320.27420001
26.06.2012 21:00:00.000,1572.482,1581.771,1562.677,1574.052,36844259.9476
27.06.2012 21:00:00.000,1574.090,1578.953,1548.000,1552.209,40288520.3512
28.06.2012 21:00:00.000,1552.045,1606.933,1550.890,1597.065,48565479.97900001
29.06.2012 21:00:00.000,1597.065,1597.065,1597.065,1597.065,0
30.06.2012 21:00:00.000,1597.065,1597.227,1597.065,1597.227,0
01.07.2012 21:00:00.000,1597.367,1602.065,1587.178,1596.772,37335800.1709
02.07.2012 21:00:00.000,1596.880,1624.777,1594.848,1616.967,39291220.4414
03.07.2012 21:00:00.000,1616.975,1620.252,1611.503,1614.898,23434600.070299998
04.07.2012 21:00:00.000,1614.875,1623.653,1597.613,1604.175,38317579.775800005
05.07.2012 21:00:00.000,1604.165,1609.210,1576.445,1583.115,40034320.01190001
06.07.2012 21:00:00.000,1583.115,1583.115,1583.115,1583.115,0
07.07.2012 21:00:00.000,1583.115,1583.115,1583.115,1583.115,0
08.07.2012 21:00:00.000,1582.389,1592.852,1576.698,1587.222,32421279.921900004
09.07.2012 21:00:00.000,1587.214,1601.183,1564.482,1566.799,37912780.225200005
10.07.2012 21:00:00.000,1566.818,1583.059,1565.195,1575.641,35456200.182500005
11.07.2012 21:00:00.000,1575.968,1577.881,1554.944,1571.635,40310259.61050001
