<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.04.10	24332.20	24522.45	24240.50	24399.45	240553	12025529	120
2018.04.11	24318.45	24373.45	24103.45	24202.45	212545	3868342	120
2018.04.12	24242.45	24590.65	24172.95	24495.25	149672	7349293	210
2018.04.13	24475.65	24659.65	24242.15	24373.65	145365	7272098	181
2018.04.16	24479.65	24678.55	24419.05	24590.35	138243	6913762	171
2018.04.17	24701.85	24865.85	24677.15	24805.65	130927	6554826	196
2018.04.18	24797.95	24848.45	24722.85	24758.95	123553	6204378	181
2018.04.19	24794.55	24805.65	24556.25	24654.35	139734	6987628	210
2018.04.20	24662.25	24692.65	24370.25	24443.45	148550	7438628	171
2018.04.23	24535.45	24537.35	24326.35	24437.15	138171	6932730	210
2018.04.24	24515.65	24636.75	23824.25	23992.85	163422	8175000	171
2018.04.25	23983.10	24142.85	23822.85	24049.85	169304	8467020	210
2018.04.26	24094.05	24401.05	24052.65	24324.05	149137	6332670	200
2018.04.27	24311.35	24355.35	24189.25	24326.15	116255	3860771	171
2018.04.30	24414.95	24501.05	24189.05	24189.05	95594	1913532	201
2018.05.01	24219.35	24219.35	23800.25	24071.15	103013	2066530	230
2018.05.02	24104.45	24183.20	23881.55	23904.95	110653	2223004	201
2018.05.03	23901.65	23987.75	23519.75	23885.75	135958	2720282	171
2018.05.04	23956.85	24327.05	23769.05	24240.05	107347	2147996	230
2018.05.07	24356.75	24475.85	24256.55	24346.25	87735	1755184	230
2018.05.08	24379.85	24413.77	24191.75	24336.75	146458	13056632	191
2018.05.09	24360.75	24591.00	24324.55	24542.75	175969	3036936	200
2018.05.10	24576.75	24796.75	24512.55	24725.75	173835	5036633	191
2018.05.11	24758.30	24868.39	24709.15	24820.51	57186	16484070	171
2018.05.14	24967.34	24994.29	24859.15	24886.20	49147	13101696	160
2018.05.15	24837.76	24885.17	24627.62	24690.24	70224	22740180	171
2018.05.16	24701.42	24800.67	24643.50	24752.05	49592	12224768	160
2018.05.17	24716.32	24840.67	24635.54	24725.09	52572	13422240	160
2018.05.18	24761.80	24806.59	24662.10	24736.02	68903	13859275	120
2018.05.21	24943.54	25084.23	24920.74	25009.42	52951	10438166	120
2018.05.22	25033.31	25072.15	24811.96	24848.62	41796	10490024	160
2018.05.23	24784.69	24877.27	24633.84	24872.29	71510	16894680	120
2018.05.24	24814.65	24878.81	24602.76	24807.78	60257	15466096	160
2018.05.25	24879.93	24894.70	24685.93	24755.93	52873	12835788	160
2018.05.28	24845.07	24851.10	24721.05	24789.48	17495	3197300	131
2018.05.29	24755.36	24757.36	24255.75	24375.75	173731	11005613	120
2018.05.30	24422.75	24728.50	24422.75	24691.75	226903	3639421	120
2018.05.31	24655.75	24718.75	24356.75	24438.75	229198	3493472	150
2018.06.01	24445.75	24687.75	24442.75	24632.75	192742	3424047	166
2018.06.04	24698.55	24875.75	24687.75	24822.75	161531	2172064	166
2018.06.05	24809.75	24873.75	24722.75	24813.75	164444	2290978	150
2018.06.06	24909.30	25138.75	24874.75	25137.75	177507	2429837	150
2018.06.07	25186.75	25336.75	25173.75	25241.75	210936	3188072	120
2018.06.08	25213.55	25336.75	25087.75	25319.75	153916	1731944	150
2018.06.11	25302.75	25417.75	25299.75	25362.75	136361	2104888	120
2018.06.12	25356.75	25406.75	25260.75	25342.75	173357	4204993	120
2018.06.13	25356.75	25383.75	25220.75	25231.75	148266	1818005	121
2018.06.14	25167.55	25351.75	25148.75	25202.75	175936	2048004	150
2018.06.15	25192.75	25196.75	24900.75	25083.75	195914	1720410	150
2018.06.18	24980.75	25014.75	24837.75	25006.75	176219	3134771	120
2018.06.19	24694.75	24743.75	24568.00	24704.75	234278	2701816	150
2018.06.20	24838.75	24852.75	24629.75	24665.75	181747	2190547	150
2018.06.21	24727.75	24727.75	24402.75	24461.75	228740	2718051	120
2018.06.22	24532.75	24663.75	24509.75	24588.75	170908	2040261	120
2018.06.25	24433.75	24483.75	24082.75	24253.75	251838	4005098	150
2018.06.26	24334.75	24380.75	24223.75	24282.75	222632	2410446	166
2018.06.27	24235.75	24571.75	24085.75	24150.75	290347	3888846	100
2018.06.28	24174.75	24303.75	23987.75	24203.75	271035	3171519	120
2018.06.29	24354.75	24506.80	24286.55	24298.80	231534	2431038	120
2018.07.02	24109.80	24299.80	24041.75	24297.80	235817	2198866	120
2018.07.03	24319.00	24460.80	24146.64	24178.80	168444	2688306	120
2018.07.04	24211.75	24270.80	24179.75	24223.50	65715	623454	140
2018.07.05	24185.75	24374.80	24153.50	24345.80	217601	2672592	120
2018.07.06	24422.80	24514.80	24248.80	24459.80	206317	2237150	140
2018.07.09	24594.80	24797.80	24549.80	24772.80	165680	2952405	120
2018.07.10	24826.75	24946.80	24800.75	24924.50	168044	2756235	120
2018.07.11	24723.80	24813.80	24656.75	24708.00	214205	3000634	140
2018.07.12	24796.80	24939.80	24752.80	24919.80	183137	2172257	120
2018.07.13	24985.80	25041.80	24881.80	25015.80	171147	2426244	120
2018.07.16	25060.05	25100.80	24979.80	25053.80	154486	2094217	120
2018.07.17	25062.25	25157.80	24990.80	25122.80	173171	2090148	120
2018.07.18	25122.75	25218.00	25100.50	25179.00	161192	2045719	140
2018.07.19	25180.50	25214.50	25044.50	25069.50	209610	2455504	120
2018.07.20	25061.75	25121.50	24922.50	25070.45	235089	2972705	120
2018.07.23	25091.75	25096.25	24979.50	25045.75	193573	2780060	200
2018.07.24	25044.25	25285.50	25041.25	25209.25	217056	2973130	120
2018.07.25	25218.75	25463.50	25107.50	25460.50	202548	2739471	200
2018.07.26	25442.75	25587.50	25415.25	25524.50	233833	2589572	120
2018.07.27	25513.75	25590.30	25367.50	25454.50	242799	3066026	200
2018.07.30	25438.75	25498.50	25288.50	25326.75	236073	2593144	200
2018.07.31	25333.75	25509.50	25296.50	25494.50	188630	2283047	200
2018.08.01	25487.25	25498.25	25275.50	25347.50	213481	2586125	200
2018.08.02	25339.25	25358.50	25115.50	25352.50	236584	2771585	200
2018.08.03	25356.25	25464.50	25288.50	25452.45	182055	2290932	200
2018.08.06	25457.75	25539.50	25376.50	25498.50	173651	2666798	200
2018.08.07	25503.75	25693.50	25493.50	25648.50	155073	1957678	120
2018.08.08	25642.75	25667.25	25535.50	25535.50	150703	2176207	200
2018.08.09	25511.50	25612.50	25470.50	25484.50	152716	1946659	120
2018.08.10	25475.75	25492.25	25217.50	25351.45	222442	2793576	120
2018.08.13	25328.75	25378.50	25151.50	25225.50	239892	3371781	200
2018.08.14	25230.75	25343.50	25202.50	25317.50	192847	2504865	200
2018.08.15	25321.25	25325.50	24963.50	25207.50	245306	4002389	216
2018.08.16	25194.75	25604.50	25143.50	25587.50	207928	2726433	200
2018.08.17	25573.25	25726.50	25502.50	25693.95	208437	2746997	200
2018.08.20	25693.25	25791.50	25663.50	25751.50	161438	2996792	200
2018.08.21	25747.50	25888.50	25722.75	25750.25	153490	3069800	200
2018.08.22	25714.25	25840.50	25680.50	25733.50	175729	3514580	200
2018.08.23	25728.75	25762.50	25604.50	25671.50	168085	3361700	200
2018.08.24	25673.75	25825.50	25651.50	25799.45	149823	2996460	200
2018.08.27	25806.25	26084.50	25803.50	26079.50	138594	2771880	120
2018.08.28	26080.75	26154.50	26043.50	26093.50	142887	2857740	120
2018.08.29	26079.25	26173.50	26039.50	26139.50	146948	2938960	200
2018.08.30	26139.75	26155.50	25933.50	25973.50	197749	3954980	200
2018.08.31	25954.75	26029.50	25877.50	26009.95	210668	4213360	200
2018.09.03	26008.75	26065.13	25946.50	26010.87	44875	897500	210
2018.09.04	26012.41	26056.50	25806.50	25982.50	231436	4628720	120
2018.09.05	25979.75	26015.50	25832.30	25974.50	265900	5318000	200
2018.09.06	25963.25	26080.50	25880.50	26003.50	279381	5587620	200
2018.09.07	25995.25	26020.50	25816.50	25924.95	299061	5981220	200
2018.09.10	25940.25	26048.50	25861.50	25885.50	252592	5051840	200
2018.09.11	25887.75	26024.50	25754.50	25999.50	234509	4690180	200
2018.09.12	25997.75	26154.50	25931.50	25994.50	263064	5261280	200
2018.09.13	25989.75	26193.50	25971.50	26153.50	212820	4256400	200
2018.09.14	26145.75	26226.50	26071.50	26143.95	166759	3335180	120
2018.09.17	26150.75	26201.50	26046.50	26084.50	193277	3865540	120
2018.09.18	26072.75	26339.50	25971.50	26300.50	213800	4276000	120
2018.09.19	26296.50	26485.50	26247.50	26453.50	181606	3632120	120
2018.09.20	26461.25	26725.50	26440.50	26724.50	171722	3434440	120
2018.09.21	26718.25	26803.50	26700.50	26732.45	182374	3647480	200
2018.09.24	26702.75	26729.50	26567.50	26613.50	172617	3452340	120
2018.09.25	26608.75	26697.50	26495.50	26523.50	159938	3198760	200
2018.09.26	26515.75	26619.50	26363.50	26403.50	168906	3378120	200
2018.09.27	26412.75	26570.50	26353.50	26490.50	193848	3876960	120
2018.09.28	26497.75	26530.50	26345.50	26495.95	209712	4194240	200
2018.10.01	26524.25	26757.50	26524.25	26675.50	195229	3904580	200
2018.10.02	26681.75	26842.80	26558.50	26825.80	216740	4334800	140
2018.10.03	26819.75	26972.80	26784.75	26824.80	205729	4114580	100
2018.10.04	26831.75	26831.75	26488.50	26691.80	286095	5721900	100
2018.10.05	26686.25	26741.80	26324.80	26508.95	288362	5767240	100
2018.10.08	26542.75	26566.50	26243.80	26552.50	285450	5709000	100
2018.10.09	26544.75	26570.80	26352.80	26487.80	275568	5511360	100
2018.10.10	26482.75	26537.75	25446.80	25459.80	321681	6433620	100
2018.10.11	25485.25	25702.80	24916.80	25273.80	414700	8294000	100
2018.10.12	25243.75	25569.75	25019.80	25373.45	359433	7188660	100
2018.10.15	25361.75	25499.80	25139.80	25216.50	327832	6556640	100
2018.10.16	25200.75	25835.80	25196.80	25797.80	285342	5706840	100
2018.10.17	25772.25	25876.75	25492.80	25773.75	306959	6139180	100
2018.10.18	25745.75	25748.25	25244.75	25412.75	310710	6214200	100
2018.10.19	25407.75	25620.75	25362.75	25462.95	324924	6498480	100
2018.10.22	25371.25	25595.75	25251.75	25336.75	351658	7033160	100
2018.10.23	25330.25	25342.75	24785.75	25250.93	384307	15363643	100
2018.10.24	25257.48	25354.39	24531.74	24732.70	163952	30769696	150
2018.10.25	24742.74	25105.36	24592.48	24866.28	159552	27553233	150
2018.10.26	24827.50	24914.36	24444.34	24736.17	195352	34317320	150
2018.10.29	24764.51	25036.64	24119.86	24416.98	168958	30061927	150
2018.10.30	24404.60	24931.07	24364.10	24917.48	163643	29571813	150
2018.10.31	24915.56	25337.21	24856.98	25081.07	121634	21268214	150
2018.11.01	25081.14	25398.20	25081.14	25312.77	110996	19238838	150
2018.11.02	25241.60	25719.95	25076.85	25264.52	142242	24824914	150
2018.11.05	25263.72	25512.90	25171.45	25485.90	236776	19230631	120
2018.11.06	25480.90	25703.85	25412.85	25677.85	413098	26409594	120
2018.11.07	25662.85	26245.85	25581.85	26230.85	520033	12520680	120
2018.11.08	26189.85	26283.85	26086.85	26199.85	607145	18399015	120
2018.11.09	26183.85	26248.85	25887.85	25975.85	1022753	30988294	120
2018.11.12	25986.85	26113.85	25352.85	25411.85	539768	19411806	120
2018.11.13	25421.85	25586.85	25202.85	25355.85	603380	22986585	120
2018.11.14	25379.75	25511.85	24951.85	25105.85	975694	35218760	120
2018.11.15	25084.85	25372.85	24805.85	25351.85	1074093	35887829	0
2018.11.16	25334.85	25526.85	25121.85	25470.85	1291917	44256295	120
2018.11.19	25413.25	25519.85	24918.85	25068.85	430517	8808343	120
2018.11.20	25067.75	25072.85	24387.85	24445.85	513390	13680669	120
2018.11.21	24465.75	24685.85	24407.85	24498.85	396417	10452047	120
2018.11.22	24508.85	24568.85	24322.85	24352.85	55593	0	0
2018.11.23	24366.85	24457.85	24273.85	24286.85	260918	8458324	120
2018.11.26	24304.75	24693.85	24302.25	24531.75	326202	16641308	120
2018.11.27	24550.25	24787.30	24437.90	24783.58	294085	13600688	120
2018.11.28	24780.67	25368.69	24728.88	25334.33	105408	5270140	160
2018.11.29	25306.30	25478.55	25201.99	25364.89	202702	10135428	160
2018.11.30	25353.50	25582.70	25204.38	25573.22	168690	8438928	160
2018.12.03	25880.28	26072.69	25667.46	25815.79	114625	5731450	160
2018.12.04	25821.36	25822.86	24985.99	25023.46	151116	7556460	160
2018.12.05	25012.05	25169.80	24992.57	25140.80	53547	2687316	240
2018.12.06	25115.00	25116.00	24245.50	24922.28	588398	29421440	160
2018.12.07	24903.16	25094.90	24273.23	24411.62	172495	8624586	160
2018.12.10	24305.62	24499.37	23876.16	24456.51	177653	8883117	250
2018.12.11	24466.58	24805.58	24216.23	24318.61	300802	15039176	350
2018.12.12	24332.68	24828.09	24320.19	24533.44	400076	20005580	160
2018.12.13	24556.01	24737.59	24472.52	24566.40	515821	25793512	160
2018.12.14	24574.23	24596.30	24028.60	24049.51	484545	24227260	160
2018.12.17	24011.07	24217.01	23454.04	23685.41	109270	5465617	160
2018.12.18	23678.03	23923.07	23514.77	23556.87	109780	5491240	160
2018.12.19	23551.99	24059.50	23158.58	23298.03	135806	6792836	160
2018.12.20	23305.56	23429.41	22641.71	23043.79	373058	18653620	160
2018.12.21	23008.59	23249.84	22373.45	22466.40	499721	25002962	160
2018.12.24	22315.16	22576.31	21705.50	21726.98	117849	5893980	160
2018.12.26	21662.18	22976.92	21574.76	22876.98	155002	7749780	330
2018.12.27	22873.25	23218.04	22263.71	23117.04	229738	11487515	200
2018.12.28	23136.90	23391.74	22978.55	23063.12	341410	17072320	210
2018.12.31	23177.38	23331.61	23113.12	23232.57	69716	3489470	330
2019.01.02	23193.01	23417.80	22814.94	23130.63	143766	7188810	330
2019.01.03	23043.65	23137.13	22634.60	22714.12	161751	8087980	330
2019.01.04	22724.44	23521.26	22586.24	23406.20	305840	15298220	150
2019.01.07	23466.74	23688.56	23298.59	23559.10	125334	6266580	150
2019.01.08	23553.70	23867.54	23518.89	23750.14	122755	6138532	150
2019.01.09	23733.19	23987.84	23733.19	23858.53	119303	5965590	150
2019.01.10	23846.17	24022.97	23662.67	23988.24	240910	12045990	150
2019.01.11	23978.36	24018.05	23796.78	23982.11	279556	13536450	150
2019.01.14	23930.77	23963.40	23727.72	23899.12	82682	4134373	150
2019.01.15	23897.16	24100.40	23854.67	24015.61	105703	5285206	150
2019.01.16	24014.15	24288.18	23986.46	24196.83	84323	4217670	150
2019.01.17	24185.57	24474.90	24037.38	24371.74	95925	4796763	150
2019.01.18	24373.46	24760.59	24318.68	24757.61	97042	4852554	150
2019.01.21	24703.23	24722.15	24549.31	24634.73	34304	1722272	150
2019.01.22	24604.00	24665.84	24241.63	24433.87	104089	5206634	150
2019.01.23	24411.54	24698.28	24302.09	24567.61	110412	5521570	150
2019.01.24	24539.80	24634.15	24418.17	24519.74	104889	5244908	150
2019.01.25	24510.30	24862.19	24491.40	24761.00	98974	2554147	120
2019.01.28	24716.34	24747.74	24324.03	24496.86	104417	1047732	150
2019.01.29	24493.40	24677.38	24387.95	24656.98	101033	1012899	150
2019.01.30	24681.93	25106.95	24579.31	25015.20	115024	1154145	150
2019.01.31	24965.44	25092.28	24836.97	25081.81	107346	1076026	150
2019.02.01	25061.94	25189.99	24979.93	25052.07	107503	1077612	150
2019.02.04	25008.35	25248.51	24974.86	25224.19	69557	700365	150
2019.02.05	25222.77	25426.48	25192.95	25372.94	68740	692265	150
2019.02.06	25374.82	25439.81	25310.00	25369.00	73028	737815	150
2019.02.07	25339.46	25357.04	24998.61	25150.10	109213	1095733	150
2019.02.08	25135.63	25142.61	24883.18	25117.83	105807	1060414	150
2019.02.11	25147.56	25247.84	25002.05	25043.10	80729	810103	150
2019.02.12	25034.21	25459.20	25025.70	25426.96	73544	739723	150
