<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.12.06	12951.55	13032.82	12859.15	12998.55	109100	820440	90
2017.12.07	13043.30	13104.65	12985.05	13093.65	79429	1169505	90
2017.12.08	13147.65	13242.65	13135.60	13161.65	78019	1141320	90
2017.12.11	13193.05	13202.70	13110.55	13152.05	70823	1030395	90
2017.12.12	13150.60	13184.15	13077.05	13167.65	72665	1061115	90
2017.12.13	13174.25	13189.30	13068.75	13073.55	62050	904350	90
2017.12.14	13076.45	13160.20	13007.50	13029.95	68604	1003095	90
2017.12.15	13043.55	13138.30	13004.65	13123.05	71859	1052820	90
2017.12.18	13205.80	13336.30	13189.55	13313.35	70261	1029195	90
2017.12.19	13325.65	13339.35	13203.75	13230.45	60432	885945	90
2017.12.20	13251.05	13253.55	13022.15	13070.75	80950	1187460	90
2017.12.21	13055.05	13138.25	13011.40	13070.90	65821	965745	90
2017.12.22	13072.80	13106.65	13048.45	13075.45	49737	720945	90
2017.12.27	13056.25	13131.25	13015.15	13058.85	56586	823785	90
2017.12.28	13055.45	13067.65	12961.95	12984.65	45290	659160	90
2017.12.29	12993.15	12998.40	12828.15	12859.85	50806	739365	90
2018.01.02	12921.60	12942.85	12733.95	12883.65	73777	1085715	90
2018.01.03	12909.35	13020.85	12887.60	13009.55	70652	1036935	90
2018.01.04	13027.80	13206.85	13025.05	13166.85	75964	1116735	90
2018.01.05	13180.50	13342.85	13172.15	13334.25	73041	1069860	90
2018.01.08	13371.85	13412.90	13332.45	13369.00	65341	959145	90
2018.01.09	13363.40	13421.30	13354.35	13395.60	64396	944175	110
2018.01.10	13361.00	13376.95	13223.05	13263.35	86368	1271295	90
2018.01.11	13291.40	13301.15	13146.35	13243.50	77722	1140180	90
2018.01.12	13248.45	13259.65	13161.45	13234.85	76542	1120485	90
2018.01.15	13252.35	13257.85	13166.85	13191.45	48136	701760	90
2018.01.16	13223.20	13347.85	13129.05	13144.35	100504	1476360	90
2018.01.17	13186.75	13253.05	13130.25	13233.85	89651	1315080	90
2018.01.18	13222.25	13300.95	13195.85	13279.70	83145	1219200	90
2018.01.19	13264.85	13470.05	13252.85	13460.35	88196	1290660	90
2018.01.22	13450.00	13515.05	13406.25	13502.35	73077	1063350	90
2018.01.23	13555.15	13595.90	13513.65	13569.30	85583	1255635	90
2018.01.24	13563.80	13573.15	13368.55	13422.15	99050	1452525	90
2018.01.25	13389.45	13439.55	13215.45	13313.35	108718	1595790	90
2018.01.26	13315.15	13384.35	13259.85	13383.25	83108	1209990	90
2018.01.29	13361.35	13366.10	13266.85	13303.35	85311	1254450	90
2018.01.30	13223.75	13305.85	13166.45	13192.30	106746	1573995	90
2018.01.31	13210.50	13263.45	13153.55	13193.25	100243	1468770	90
2018.02.01	13252.75	13294.75	12928.75	12960.00	126372	1859670	90
2018.02.02	12980.35	12983.60	12688.25	12703.25	141456	2083665	49
2018.02.05	12635.45	12746.75	12134.45	12260.45	150486	2218425	90
2018.02.06	12156.35	12645.85	12147.85	12643.35	164106	2407200	90
2018.02.07	12492.10	12647.45	12409.00	12530.65	119046	1718085	90
2018.02.08	12529.25	12546.25	12129.65	12129.65	101114	1414575	90
2018.02.09	12180.45	12294.00	11900.35	12207.35	150073	2179785	90
2018.02.12	12294.90	12372.05	12211.25	12341.05	133387	1970880	90
2018.02.13	12273.35	12291.85	12174.60	12246.00	122711	1814970	90
2018.02.14	12259.15	12435.75	12062.05	12408.25	117310	1727385	90
2018.02.15	12453.15	12474.75	12266.75	12350.75	114464	1687740	90
2018.02.16	12363.40	12527.85	12354.65	12479.65	122750	1816050	90
2018.02.19	12511.85	12526.35	12353.15	12387.15	62805	920760	90
2018.02.20	12392.95	12496.90	12324.50	12425.95	121378	1794525	90
2018.02.21	12455.25	12504.65	12362.30	12387.65	114472	1685880	90
2018.02.22	12355.55	12493.05	12274.20	12420.35	127931	1893675	90
2018.02.23	12503.40	12547.35	12426.65	12540.35	105206	1552665	90
2018.02.26	12574.60	12598.70	12478.20	12579.55	58829	0	110
2018.02.27	12558.55	12573.95	12420.25	12424.75	67217	0	110
2018.02.28	12438.25	12515.05	12357.85	12361.50	66988	0	110
2018.03.01	12372.40	12397.70	12007.35	12058.90	113043	0	100
2018.03.02	12095.00	12099.30	11872.35	11998.45	88054	0	110
2018.03.05	11914.15	12179.65	11725.15	12166.15	134078	2011170	90
2018.03.06	12192.55	12269.55	12101.40	12154.40	134128	2011920	90
